270	1,31737E-16
271	1,33892E-16
272	1,36298E-16
273	1,38382E-16
274	1,39608E-16
275	1,40844E-16
276	1,44062E-16
277	1,45397E-16
278	1,46351E-16
279	1,48998E-16
280	1,49029E-16
281	1,52434E-16
282	1,47714E-16
282,5	1,46574E-16
283	1,45024E-16
283,5	1,42502E-16
284	1,39916E-16
284,5	1,37782E-16
285	1,39429E-16
285,5	1,39957E-16
286	1,42652E-16
286,5	1,43052E-16
287	1,46005E-16
287,5	1,48312E-16
288	1,4841E-16
288,5	1,49886E-16
289	1,49826E-16
289,5	1,50308E-16
290	1,49343E-16
290,5	1,50515E-16
291	1,50788E-16
291,5	1,52937E-16
292	1,53898E-16
292,5	1,53151E-16
293	1,54809E-16
293,5	1,56908E-16
294	1,57964E-16
294,5	1,60496E-16
295	1,60836E-16
295,5	1,622E-16
296	1,63362E-16
296,5	1,65593E-16
297	1,68106E-16
297,5	1,70617E-16
298	1,69695E-16
298,5	1,71791E-16
299	1,73753E-16
299,5	1,74135E-16
300	1,77041E-16
300,5	1,78606E-16
301	1,80359E-16
301,5	1,83489E-16
302	1,85429E-16
302,5	1,86133E-16
303	1,89075E-16
303,5	1,9108E-16
304	1,93109E-16
304,5	1,92409E-16
305	1,94822E-16
305,5	1,95623E-16
306	1,95714E-16
306,5	1,98858E-16
307	2,00637E-16
307,5	2,02243E-16
308	2,03865E-16
308,5	2,03633E-16
309	2,06157E-16
309,5	2,07926E-16
310	2,07933E-16
310,5	2,10545E-16
311	2,08832E-16
311,5	2,11406E-16
312	2,1327E-16
312,5	2,13967E-16
313	2,17152E-16
313,5	2,16414E-16
314	2,18388E-16
314,5	2,20264E-16
315	2,20656E-16
315,5	2,21996E-16
316	2,24989E-16
316,5	2,24734E-16
317	2,2696E-16
317,5	2,2821E-16
318	2,31275E-16
318,5	2,3395E-16
319	2,35567E-16
319,5	2,3695E-16
320	2,39342E-16
320,5	2,40855E-16
321	2,42428E-16
321,5	2,43143E-16
322	2,45475E-16
322,5	2,46512E-16
323	2,47686E-16
323,5	2,49451E-16
324	2,50566E-16
324,5	2,49531E-16
325	2,555E-16
325,5	2,5527E-16
326	2,55131E-16
326,5	2,57384E-16
327	2,60026E-16
327,5	2,62319E-16
328	2,65134E-16
328,5	2,65181E-16
329	2,67763E-16
329,5	2,68706E-16
330	2,70413E-16
330,5	2,72333E-16
331	2,71895E-16
331,5	2,75192E-16
332	2,75078E-16
332,5	2,76463E-16
333	2,78402E-16
333,5	2,79191E-16
334	2,80913E-16
334,5	2,82713E-16
335	2,83652E-16
335,5	2,8538E-16
336	2,86397E-16
336,5	2,88899E-16
337	2,88645E-16
337,5	2,8904E-16
338	2,90151E-16
338,5	2,92755E-16
339	2,91759E-16
339,5	2,91551E-16
340	2,94563E-16
340,5	2,93793E-16
341	2,9401E-16
341,5	2,97161E-16
342	2,98693E-16
342,5	2,98937E-16
343	3,01864E-16
343,5	3,00211E-16
344	3,0397E-16
344,5	3,05802E-16
345	3,08182E-16
345,5	3,12966E-16
346	3,1254E-16
346,5	3,13362E-16
347	3,17253E-16
347,5	3,18648E-16
348	3,20498E-16
